reaction_uid,model_reaction_id,reaction_name,model_equation,rxndb_direct_match,rxndb_source,rxndb_id,ec_number,template_id,template_substrate,reactant_smile,product_smile,rxn_smiles_basic,rxn_smiles_final,similarity,rule,provenance_status,notes
MODEL_RXN:0004132,rxn1,rxn1,s_0794 + s_1065 + s_1212 + s_1275 --> s_0803 + s_1207 + sn_103,True,C:\biological\Metabolic model prediction\Yeast-MetaTwin\Data_retrosynthesis\not_lipid\top50_0.3_add_no_ec_re\RXNdb_all_top50_0.3.json,rxn1,1.3.1.14;1.3.3.2,MNXR97424,O=C1C[C@@H](C(=O)[O-])NC(=O)N1,O=C([O-])c1cc(=O)[nH]c(=O)[nH]1,O=C1CC(C(=O)[O-])NC(=O)N1,O=C([O-])c1cc(=O)[nH]c(=O)[nH]1>>O=C1CC(C(=O)[O-])NC(=O)N1,O=C([O-])c1cc(=O)[nH]c(=O)[nH]1.NC(=O)C1=CN([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](O)[C@@H]3O)[C@@H](O)[C@H]2O)C=CC1.[H+]>>O=C1CC(C(=O)[O-])NC(=O)N1.NC(=O)c1ccc[n+]([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](O)[C@@H]3O)[C@@H](O)[C@H]2O)c1,1.0,[O;-;D1;H0:1]-[C:2](=[O;D1;H0:3])-[C@@H;D3;+0:4]1-[CH2;D2;+0:5]-[C;H0;D3;+0:6](=[O;D1;H0:7])-[NH;D2;+0:8]-[C;H0;D3;+0:9](=[O;D1;H0:10])-[NH;D2;+0:11]-1>>[O;-;D1;H0:1]-[C:2](=[O;D1;H0:3])-[c;H0;D3;+0:4]1:[cH;D2;+0:5]:[c;H0;D3;+0:6](=[O;D1;H0:7]):[nH;D2;+0:8]:[c;H0;D3;+0:9](=[O;D1;H0:10]):[nH;D2;+0:11]:1,rxndb_direct_match,Direct top-level RXNdb key matched model rxn* ID.
MODEL_RXN:0004133,rxn10,rxn10,s_0794 + s_1203 + s_2894 --> s_1198 + s_2900,True,C:\biological\Metabolic model prediction\Yeast-MetaTwin\Data_retrosynthesis\not_lipid\top50_0.3_add_no_ec_re\RXNdb_all_top50_0.3.json,rxn10,1.1.1.21,MNXR130061_reverse,OC[C@H](O)[C@H](O)[C@H](O)[C@H](O)CO,O=CC(O)CO,OCC(O)CO,O=CC(O)CO>>OCC(O)CO,O=CC(O)CO.[H+].NC(=O)C1=CN([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)([O-])[O-])[C@@H]3O)[C@@H](O)[C@H]2O)C=CC1>>OCC(O)CO.NC(=O)c1ccc[n+]([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)([O-])[O-])[C@@H]3O)[C@@H](O)[C@H]2O)c1,0.9047619048000001,[C:1]-[CH2;D2;+0:2]-[OH;D1;+0:3]>>[C:1]-[CH;D2;+0:2]=[O;H0;D1;+0:3],rxndb_direct_match,Direct top-level RXNdb key matched model rxn* ID.
MODEL_RXN:0004134,rxn100,rxn100,s_0764 + sn_198 --> s_0775 + s_1427,True,C:\biological\Metabolic model prediction\Yeast-MetaTwin\Data_retrosynthesis\not_lipid\top50_0.3_add_no_ec_re\RXNdb_all_top50_0.3.json,rxn100,2.6.1.49,MNXR144362_reverse,O=C([O-])C(=O)Cc1ccc(O)c(O)c1|[NH3+][C@@H](Cc1ccccc1)C(=O)[O-],NC(Cc1ccc(O)cc1)C(=O)O.O=C([O-])Cc1ccccc1,O=C([O-])Cc1ccc(O)cc1.NC(Cc1ccccc1)C(=O)O,NC(Cc1ccc(O)cc1)C(=O)O.O=C([O-])Cc1ccccc1>>O=C([O-])Cc1ccc(O)cc1.NC(Cc1ccccc1)C(=O)O,NC(Cc1ccc(O)cc1)C(=O)O.O=C([O-])Cc1ccccc1>>O=C([O-])Cc1ccc(O)cc1.NC(Cc1ccccc1)C(=O)O,0.68|0.7272727273,[C:1]-[c;H0;D3;+0:2](:[cH;D2;+0:11]:[c:12]):[cH;D2;+0:13]:[c:14].[O;D1;H0:7]=[C:8]-[C:9]-[c;H0;D3;+0:10](:[cH;D2;+0:3]:[c:4]):[cH;D2;+0:5]:[c:6]>>[C:1]-[c;H0;D3;+0:2](:[cH;D2;+0:3]:[c:4]):[cH;D2;+0:5]:[c:6].[O;D1;H0:7]=[C:8]-[C:9]-[c;H0;D3;+0:10](:[cH;D2;+0:11]:[c:12]):[cH;D2;+0:13]:[c:14],rxndb_direct_match,Direct top-level RXNdb key matched model rxn* ID.
MODEL_RXN:0004135,rxn1000,rxn1000,s_1318 + sn_225 --> s_1321 + s_4244,True,C:\biological\Metabolic model prediction\Yeast-MetaTwin\Data_retrosynthesis\not_lipid\top50_0.3_add_no_ec_re\RXNdb_all_top50_0.3.json,rxn1000,,MNXR169759_reverse,CC(=O)[O-]|[NH3+]CCC[NH2+]CCCC[NH2+]CCC[NH3+],CC(=O)NCCCC[NH2+]CCC[NH3+].O,CC(=O)[O-].[NH3+]CCCC[NH2+]CCC[NH3+],CC(=O)NCCCC[NH2+]CCC[NH3+].O>>CC(=O)[O-].[NH3+]CCCC[NH2+]CCC[NH3+],CC(=O)NCCCC[NH2+]CCC[NH3+].O>>CC(=O)[O-].[NH3+]CCCC[NH2+]CCC[NH3+],1.0|1.0,[C;D1;H3:4]-[C;H0;D3;+0:3](-[O-;H0;D1:6])=[O;D1;H0:5].[C:1]-[NH3+;D1:2]>>[C:1]-[NH;D2;+0:2]-[C;H0;D3;+0:3](-[C;D1;H3:4])=[O;D1;H0:5].[OH2;D0;+0:6],rxndb_direct_match,Direct top-level RXNdb key matched model rxn* ID.
MODEL_RXN:0004136,rxn1001,rxn1001,s_0286 + s_1318 --> s_3874 + s_4244,True,C:\biological\Metabolic model prediction\Yeast-MetaTwin\Data_retrosynthesis\not_lipid\top50_0.3_add_no_ec_re\RXNdb_all_top50_0.3.json,rxn1001,,MNXR169759_reverse,CC(=O)[O-]|[NH3+]CCC[NH2+]CCCC[NH2+]CCC[NH3+],CC(=O)NCCC[NH2+]CCCC[NH3+].O,CC(=O)[O-].[NH3+]CCCC[NH2+]CCC[NH3+],CC(=O)NCCC[NH2+]CCCC[NH3+].O>>CC(=O)[O-].[NH3+]CCCC[NH2+]CCC[NH3+],CC(=O)NCCC[NH2+]CCCC[NH3+].O>>CC(=O)[O-].[NH3+]CCCC[NH2+]CCC[NH3+],1.0|1.0,[C;D1;H3:4]-[C;H0;D3;+0:3](-[O-;H0;D1:6])=[O;D1;H0:5].[C:1]-[NH3+;D1:2]>>[C:1]-[NH;D2;+0:2]-[C;H0;D3;+0:3](-[C;D1;H3:4])=[O;D1;H0:5].[OH2;D0;+0:6],rxndb_direct_match,Direct top-level RXNdb key matched model rxn* ID.
MODEL_RXN:0004137,rxn1002,rxn1002,s_1051 + sn_377 --> s_1032 + s_4194,True,C:\biological\Metabolic model prediction\Yeast-MetaTwin\Data_retrosynthesis\not_lipid\top50_0.3_add_no_ec_re\RXNdb_all_top50_0.3.json,rxn1002,,MNXR169759_reverse,CC(=O)[O-]|[NH3+]CCC[NH2+]CCCC[NH2+]CCC[NH3+],CC(=O)NCCCC[NH3+].O,CC(=O)[O-].[NH3+]CCCC[NH3+],CC(=O)NCCCC[NH3+].O>>CC(=O)[O-].[NH3+]CCCC[NH3+],CC(=O)NCCCC[NH3+].O>>CC(=O)[O-].[NH3+]CCCC[NH3+],1.0|0.7826086957,[C;D1;H3:4]-[C;H0;D3;+0:3](-[O-;H0;D1:6])=[O;D1;H0:5].[C:1]-[NH3+;D1:2]>>[C:1]-[NH;D2;+0:2]-[C;H0;D3;+0:3](-[C;D1;H3:4])=[O;D1;H0:5].[OH2;D0;+0:6],rxndb_direct_match,Direct top-level RXNdb key matched model rxn* ID.
MODEL_RXN:0004138,rxn1003,rxn1003,sn_244 + sn_377 --> s_4194 + s_4297,True,C:\biological\Metabolic model prediction\Yeast-MetaTwin\Data_retrosynthesis\not_lipid\top50_0.3_add_no_ec_re\RXNdb_all_top50_0.3.json,rxn1003,,MNXR169759_reverse,CC(=O)[O-]|[NH3+]CCC[NH2+]CCCC[NH2+]CCC[NH3+],CC(=O)NC(CCCC[NH3+])C(=O)[O-].O,CC(=O)[O-].[NH3+]CCCCC([NH3+])C(=O)[O-],CC(=O)NC(CCCC[NH3+])C(=O)[O-].O>>CC(=O)[O-].[NH3+]CCCCC([NH3+])C(=O)[O-],CC(=O)NC(CCCC[NH3+])C(=O)[O-].O>>CC(=O)[O-].[NH3+]CCCCC([NH3+])C(=O)[O-],1.0|0.5666666667,[C;D1;H3:4]-[C;H0;D3;+0:3](-[O-;H0;D1:6])=[O;D1;H0:5].[C:1]-[NH3+;D1:2]>>[C:1]-[NH;D2;+0:2]-[C;H0;D3;+0:3](-[C;D1;H3:4])=[O;D1;H0:5].[OH2;D0;+0:6],rxndb_direct_match,Direct top-level RXNdb key matched model rxn* ID.
MODEL_RXN:0004139,rxn1004,rxn1004,sn_225 + sn_377 --> s_1321 + s_4194,True,C:\biological\Metabolic model prediction\Yeast-MetaTwin\Data_retrosynthesis\not_lipid\top50_0.3_add_no_ec_re\RXNdb_all_top50_0.3.json,rxn1004,,MNXR169759_reverse,CC(=O)[O-]|[NH3+]CCC[NH2+]CCCC[NH2+]CCC[NH3+],CC(=O)NC(CCC[NH3+])C(=O)[O-].O,CC(=O)[O-].[NH3+]CCCC([NH3+])C(=O)[O-],CC(=O)NC(CCC[NH3+])C(=O)[O-].O>>CC(=O)[O-].[NH3+]CCCC([NH3+])C(=O)[O-],CC(=O)NC(CCC[NH3+])C(=O)[O-].O>>CC(=O)[O-].[NH3+]CCCC([NH3+])C(=O)[O-],1.0|0.5333333333,[C;D1;H3:4]-[C;H0;D3;+0:3](-[O-;H0;D1:6])=[O;D1;H0:5].[C:1]-[NH3+;D1:2]>>[C:1]-[NH;D2;+0:2]-[C;H0;D3;+0:3](-[C;D1;H3:4])=[O;D1;H0:5].[OH2;D0;+0:6],rxndb_direct_match,Direct top-level RXNdb key matched model rxn* ID.
MODEL_RXN:0004140,rxn1005,rxn1005,s_0286 + sn_377 --> s_3874 + s_4194,True,C:\biological\Metabolic model prediction\Yeast-MetaTwin\Data_retrosynthesis\not_lipid\top50_0.3_add_no_ec_re\RXNdb_all_top50_0.3.json,rxn1005,,MNXR169759_reverse,CC(=O)[O-]|[NH3+]CCC[NH2+]CCCC[NH2+]CCC[NH3+],CC(=O)NCCCC=O.O,CC(=O)[O-].[NH3+]CCCC=O,CC(=O)NCCCC=O.O>>CC(=O)[O-].[NH3+]CCCC=O,CC(=O)NCCCC=O.O>>CC(=O)[O-].[NH3+]CCCC=O,1.0|0.5,[C;D1;H3:4]-[C;H0;D3;+0:3](-[O-;H0;D1:6])=[O;D1;H0:5].[C:1]-[NH3+;D1:2]>>[C:1]-[NH;D2;+0:2]-[C;H0;D3;+0:3](-[C;D1;H3:4])=[O;D1;H0:5].[OH2;D0;+0:6],rxndb_direct_match,Direct top-level RXNdb key matched model rxn* ID.
MODEL_RXN:0004141,rxn1006,rxn1006,s_1051 + s_3800 --> s_1032 + s_3792,True,C:\biological\Metabolic model prediction\Yeast-MetaTwin\Data_retrosynthesis\not_lipid\top50_0.3_add_no_ec_re\RXNdb_all_top50_0.3.json,rxn1006,2.4.1.128,MNXR152078,O=c1ccn([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])O[C@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)[C@@H](O)[C@H]2O)c(=O)[nH]1|COc1cc2ccc(=O)oc2cc1O,COc1cc(-c2oc3cc([O-])cc(O)c3c(=O)c2OC2OC(CO)C(O)C(O)C2O)ccc1O.O=c1ccn(C2OC(COP(=O)([O-])OP(=O)([O-])[O-])C(O)C2O)c(=O)[nH]1,O=c1ccn(C2OC(COP(=O)([O-])OP(=O)([O-])OC3OC(CO)C(O)C(O)C3O)C(O)C2O)c(=O)[nH]1.COc1cc(-c2oc3cc([O-])cc(O)c3c(=O)c2O)ccc1O,COc1cc(-c2oc3cc([O-])cc(O)c3c(=O)c2OC2OC(CO)C(O)C(O)C2O)ccc1O.O=c1ccn(C2OC(COP(=O)([O-])OP(=O)([O-])[O-])C(O)C2O)c(=O)[nH]1>>O=c1ccn(C2OC(COP(=O)([O-])OP(=O)([O-])OC3OC(CO)C(O)C(O)C3O)C(O)C2O)c(=O)[nH]1.COc1cc(-c2oc3cc([O-])cc(O)c3c(=O)c2O)ccc1O,COc1cc(-c2oc3cc([O-])cc(O)c3c(=O)c2OC2OC(CO)C(O)C(O)C2O)ccc1O.O=c1ccn(C2OC(COP(=O)([O-])OP(=O)([O-])[O-])C(O)C2O)c(=O)[nH]1.[H+]>>O=c1ccn(C2OC(COP(=O)([O-])OP(=O)([O-])OC3OC(CO)C(O)C(O)C3O)C(O)C2O)c(=O)[nH]1.COc1cc(-c2oc3cc([O-])cc(O)c3c(=O)c2O)ccc1O,1.0|0.875,[#15:1]-[O;H0;D2;+0:2]-[C@@H;D3;+0:4](-[#8:3])-[C:5].[OH;D1;+0:6]-[c:7]>>[#15:1]-[O-;H0;D1:2].[#8:3]-[C@H;D3;+0:4](-[C:5])-[O;H0;D2;+0:6]-[c:7],rxndb_direct_match,Direct top-level RXNdb key matched model rxn* ID.
MODEL_RXN:0004142,rxn1007,rxn1007,s_3800 + sn_244 --> s_3792 + s_4297,True,C:\biological\Metabolic model prediction\Yeast-MetaTwin\Data_retrosynthesis\not_lipid\top50_0.3_add_no_ec_re\RXNdb_all_top50_0.3.json,rxn1007,2.4.1.128,MNXR152078,O=c1ccn([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])O[C@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)[C@@H](O)[C@H]2O)c(=O)[nH]1|COc1cc2ccc(=O)oc2cc1O,COc1cc(-c2oc3cc(O)cc(O)c3c(=O)c2OC2OC(CO)C(O)C(O)C2O)ccc1O.O=c1ccn(C2OC(COP(=O)([O-])OP(=O)([O-])[O-])C(O)C2O)c(=O)[nH]1,O=c1ccn(C2OC(COP(=O)([O-])OP(=O)([O-])OC3OC(CO)C(O)C(O)C3O)C(O)C2O)c(=O)[nH]1.COc1cc(-c2oc3cc(O)cc(O)c3c(=O)c2O)ccc1O,COc1cc(-c2oc3cc(O)cc(O)c3c(=O)c2OC2OC(CO)C(O)C(O)C2O)ccc1O.O=c1ccn(C2OC(COP(=O)([O-])OP(=O)([O-])[O-])C(O)C2O)c(=O)[nH]1>>O=c1ccn(C2OC(COP(=O)([O-])OP(=O)([O-])OC3OC(CO)C(O)C(O)C3O)C(O)C2O)c(=O)[nH]1.COc1cc(-c2oc3cc(O)cc(O)c3c(=O)c2O)ccc1O,COc1cc(-c2oc3cc(O)cc(O)c3c(=O)c2OC2OC(CO)C(O)C(O)C2O)ccc1O.O=c1ccn(C2OC(COP(=O)([O-])OP(=O)([O-])[O-])C(O)C2O)c(=O)[nH]1.[H+]>>O=c1ccn(C2OC(COP(=O)([O-])OP(=O)([O-])OC3OC(CO)C(O)C(O)C3O)C(O)C2O)c(=O)[nH]1.COc1cc(-c2oc3cc(O)cc(O)c3c(=O)c2O)ccc1O,1.0|0.875,[#15:1]-[O;H0;D2;+0:2]-[C@@H;D3;+0:4](-[#8:3])-[C:5].[OH;D1;+0:6]-[c:7]>>[#15:1]-[O-;H0;D1:2].[#8:3]-[C@H;D3;+0:4](-[C:5])-[O;H0;D2;+0:6]-[c:7],rxndb_direct_match,Direct top-level RXNdb key matched model rxn* ID.
MODEL_RXN:0004143,rxn1008,rxn1008,s_3800 + sn_225 --> s_1321 + s_3792,True,C:\biological\Metabolic model prediction\Yeast-MetaTwin\Data_retrosynthesis\not_lipid\top50_0.3_add_no_ec_re\RXNdb_all_top50_0.3.json,rxn1008,2.4.1.128,MNXR152078,O=c1ccn([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])O[C@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)[C@@H](O)[C@H]2O)c(=O)[nH]1|COc1cc2ccc(=O)oc2cc1O,COc1cc(-c2[o+]c3cc(O)cc(O)c3cc2OC2OC(CO)C(O)C(O)C2O)ccc1O.O=c1ccn(C2OC(COP(=O)([O-])OP(=O)([O-])[O-])C(O)C2O)c(=O)[nH]1,O=c1ccn(C2OC(COP(=O)([O-])OP(=O)([O-])OC3OC(CO)C(O)C(O)C3O)C(O)C2O)c(=O)[nH]1.COc1cc(-c2[o+]c3cc(O)cc(O)c3cc2O)ccc1O,COc1cc(-c2[o+]c3cc(O)cc(O)c3cc2OC2OC(CO)C(O)C(O)C2O)ccc1O.O=c1ccn(C2OC(COP(=O)([O-])OP(=O)([O-])[O-])C(O)C2O)c(=O)[nH]1>>O=c1ccn(C2OC(COP(=O)([O-])OP(=O)([O-])OC3OC(CO)C(O)C(O)C3O)C(O)C2O)c(=O)[nH]1.COc1cc(-c2[o+]c3cc(O)cc(O)c3cc2O)ccc1O,COc1cc(-c2[o+]c3cc(O)cc(O)c3cc2OC2OC(CO)C(O)C(O)C2O)ccc1O.O=c1ccn(C2OC(COP(=O)([O-])OP(=O)([O-])[O-])C(O)C2O)c(=O)[nH]1.[H+]>>O=c1ccn(C2OC(COP(=O)([O-])OP(=O)([O-])OC3OC(CO)C(O)C(O)C3O)C(O)C2O)c(=O)[nH]1.COc1cc(-c2[o+]c3cc(O)cc(O)c3cc2O)ccc1O,1.0|0.8181818182,[#15:1]-[O;H0;D2;+0:2]-[C@@H;D3;+0:4](-[#8:3])-[C:5].[OH;D1;+0:6]-[c:7]>>[#15:1]-[O-;H0;D1:2].[#8:3]-[C@H;D3;+0:4](-[C:5])-[O;H0;D2;+0:6]-[c:7],rxndb_direct_match,Direct top-level RXNdb key matched model rxn* ID.
MODEL_RXN:0004144,rxn1009,rxn1009,s_0286 + s_3800 --> s_3792 + s_3874,True,C:\biological\Metabolic model prediction\Yeast-MetaTwin\Data_retrosynthesis\not_lipid\top50_0.3_add_no_ec_re\RXNdb_all_top50_0.3.json,rxn1009,2.4.1.128,MNXR152078,O=c1ccn([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])O[C@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)[C@@H](O)[C@H]2O)c(=O)[nH]1|COc1cc2ccc(=O)oc2cc1O,COc1cc(-c2[o+]c3cc(O)cc(O)c3cc2OC2OC(CO)C(O)C(O)C2O)cc(OC)c1O.O=c1ccn(C2OC(COP(=O)([O-])OP(=O)([O-])[O-])C(O)C2O)c(=O)[nH]1,O=c1ccn(C2OC(COP(=O)([O-])OP(=O)([O-])OC3OC(CO)C(O)C(O)C3O)C(O)C2O)c(=O)[nH]1.COc1cc(-c2[o+]c3cc(O)cc(O)c3cc2O)cc(OC)c1O,COc1cc(-c2[o+]c3cc(O)cc(O)c3cc2OC2OC(CO)C(O)C(O)C2O)cc(OC)c1O.O=c1ccn(C2OC(COP(=O)([O-])OP(=O)([O-])[O-])C(O)C2O)c(=O)[nH]1>>O=c1ccn(C2OC(COP(=O)([O-])OP(=O)([O-])OC3OC(CO)C(O)C(O)C3O)C(O)C2O)c(=O)[nH]1.COc1cc(-c2[o+]c3cc(O)cc(O)c3cc2O)cc(OC)c1O,COc1cc(-c2[o+]c3cc(O)cc(O)c3cc2OC2OC(CO)C(O)C(O)C2O)cc(OC)c1O.O=c1ccn(C2OC(COP(=O)([O-])OP(=O)([O-])[O-])C(O)C2O)c(=O)[nH]1.[H+]>>O=c1ccn(C2OC(COP(=O)([O-])OP(=O)([O-])OC3OC(CO)C(O)C(O)C3O)C(O)C2O)c(=O)[nH]1.COc1cc(-c2[o+]c3cc(O)cc(O)c3cc2O)cc(OC)c1O,1.0|0.7941176471,[#15:1]-[O;H0;D2;+0:2]-[C@@H;D3;+0:4](-[#8:3])-[C:5].[OH;D1;+0:6]-[c:7]>>[#15:1]-[O-;H0;D1:2].[#8:3]-[C@H;D3;+0:4](-[C:5])-[O;H0;D2;+0:6]-[c:7],rxndb_direct_match,Direct top-level RXNdb key matched model rxn* ID.
MODEL_RXN:0004145,rxn101,rxn101,s_0556 + s_0764 --> s_0775 + s_1426,True,C:\biological\Metabolic model prediction\Yeast-MetaTwin\Data_retrosynthesis\not_lipid\top50_0.3_add_no_ec_re\RXNdb_all_top50_0.3.json,rxn101,2.6.1.49,MNXR144362_reverse,O=C([O-])C(=O)Cc1ccc(O)c(O)c1|[NH3+][C@@H](Cc1ccccc1)C(=O)[O-],O=C([O-])Cc1ccc(O)cc1.[NH3+]C(Cc1ccc(O)cc1)C(=O)[O-],O=C([O-])Cc1ccc(O)cc1.[NH3+]C(Cc1ccc(O)cc1)C(=O)[O-],O=C([O-])Cc1ccc(O)cc1.[NH3+]C(Cc1ccc(O)cc1)C(=O)[O-]>>O=C([O-])Cc1ccc(O)cc1.[NH3+]C(Cc1ccc(O)cc1)C(=O)[O-],O=C([O-])Cc1ccc(O)cc1.[NH3+]C(Cc1ccc(O)cc1)C(=O)[O-]>>O=C([O-])Cc1ccc(O)cc1.[NH3+]C(Cc1ccc(O)cc1)C(=O)[O-],0.68|0.7083333333,[C:1]-[c;H0;D3;+0:2](:[cH;D2;+0:11]:[c:12]):[cH;D2;+0:13]:[c:14].[O;D1;H0:7]=[C:8]-[C:9]-[c;H0;D3;+0:10](:[cH;D2;+0:3]:[c:4]):[cH;D2;+0:5]:[c:6]>>[C:1]-[c;H0;D3;+0:2](:[cH;D2;+0:3]:[c:4]):[cH;D2;+0:5]:[c:6].[O;D1;H0:7]=[C:8]-[C:9]-[c;H0;D3;+0:10](:[cH;D2;+0:11]:[c:12]):[cH;D2;+0:13]:[c:14],rxndb_direct_match,Direct top-level RXNdb key matched model rxn* ID.
MODEL_RXN:0004146,rxn1010,rxn1010,s_1051 + s_4278 --> s_1032 + sn_231,True,C:\biological\Metabolic model prediction\Yeast-MetaTwin\Data_retrosynthesis\not_lipid\top50_0.3_add_no_ec_re\RXNdb_all_top50_0.3.json,rxn1010,2.4.1.128,MNXR152078,O=c1ccn([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])O[C@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)[C@@H](O)[C@H]2O)c(=O)[nH]1|COc1cc2ccc(=O)oc2cc1O,O=c1c(OC2OC(CO)C(O)C(O)C2O)c(-c2cc(O)c(O)c(O)c2)oc2cc(O)cc(O)c12.O=c1ccn(C2OC(COP(=O)([O-])OP(=O)([O-])[O-])C(O)C2O)c(=O)[nH]1,O=c1ccn(C2OC(COP(=O)([O-])OP(=O)([O-])OC3OC(CO)C(O)C(O)C3O)C(O)C2O)c(=O)[nH]1.O=c1c(O)c(-c2cc(O)c(O)c(O)c2)oc2cc(O)cc(O)c12,O=c1c(OC2OC(CO)C(O)C(O)C2O)c(-c2cc(O)c(O)c(O)c2)oc2cc(O)cc(O)c12.O=c1ccn(C2OC(COP(=O)([O-])OP(=O)([O-])[O-])C(O)C2O)c(=O)[nH]1>>O=c1ccn(C2OC(COP(=O)([O-])OP(=O)([O-])OC3OC(CO)C(O)C(O)C3O)C(O)C2O)c(=O)[nH]1.O=c1c(O)c(-c2cc(O)c(O)c(O)c2)oc2cc(O)cc(O)c12,O=c1c(OC2OC(CO)C(O)C(O)C2O)c(-c2cc(O)c(O)c(O)c2)oc2cc(O)cc(O)c12.O=c1ccn(C2OC(COP(=O)([O-])OP(=O)([O-])[O-])C(O)C2O)c(=O)[nH]1.[H+]>>O=c1ccn(C2OC(COP(=O)([O-])OP(=O)([O-])OC3OC(CO)C(O)C(O)C3O)C(O)C2O)c(=O)[nH]1.O=c1c(O)c(-c2cc(O)c(O)c(O)c2)oc2cc(O)cc(O)c12,1.0|0.7575757576000001,[#15:1]-[O;H0;D2;+0:2]-[C@@H;D3;+0:4](-[#8:3])-[C:5].[OH;D1;+0:6]-[c:7]>>[#15:1]-[O-;H0;D1:2].[#8:3]-[C@H;D3;+0:4](-[C:5])-[O;H0;D2;+0:6]-[c:7],rxndb_direct_match,Direct top-level RXNdb key matched model rxn* ID.
MODEL_RXN:0004147,rxn1011,rxn1011,s_4278 + sn_244 --> s_4297 + sn_231,True,C:\biological\Metabolic model prediction\Yeast-MetaTwin\Data_retrosynthesis\not_lipid\top50_0.3_add_no_ec_re\RXNdb_all_top50_0.3.json,rxn1011,2.4.1.128,MNXR152078,O=c1ccn([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])O[C@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)[C@@H](O)[C@H]2O)c(=O)[nH]1|COc1cc2ccc(=O)oc2cc1O,O=c1ccn(C2OC(COP(=O)([O-])OP(=O)([O-])[O-])C(O)C2O)c(=O)[nH]1.OCC1OC(Oc2cc3c(O)cc(O)cc3[o+]c2-c2cc(O)c(O)c(O)c2)C(O)C(O)C1O,O=c1ccn(C2OC(COP(=O)([O-])OP(=O)([O-])OC3OC(CO)C(O)C(O)C3O)C(O)C2O)c(=O)[nH]1.Oc1cc(O)c2cc(O)c(-c3cc(O)c(O)c(O)c3)[o+]c2c1,O=c1ccn(C2OC(COP(=O)([O-])OP(=O)([O-])[O-])C(O)C2O)c(=O)[nH]1.OCC1OC(Oc2cc3c(O)cc(O)cc3[o+]c2-c2cc(O)c(O)c(O)c2)C(O)C(O)C1O>>O=c1ccn(C2OC(COP(=O)([O-])OP(=O)([O-])OC3OC(CO)C(O)C(O)C3O)C(O)C2O)c(=O)[nH]1.Oc1cc(O)c2cc(O)c(-c3cc(O)c(O)c(O)c3)[o+]c2c1,O=c1ccn(C2OC(COP(=O)([O-])OP(=O)([O-])[O-])C(O)C2O)c(=O)[nH]1.OCC1OC(Oc2cc3c(O)cc(O)cc3[o+]c2-c2cc(O)c(O)c(O)c2)C(O)C(O)C1O.[H+]>>O=c1ccn(C2OC(COP(=O)([O-])OP(=O)([O-])OC3OC(CO)C(O)C(O)C3O)C(O)C2O)c(=O)[nH]1.Oc1cc(O)c2cc(O)c(-c3cc(O)c(O)c(O)c3)[o+]c2c1,1.0|0.7058823529,[#15:1]-[O;H0;D2;+0:2]-[C@@H;D3;+0:4](-[#8:3])-[C:5].[OH;D1;+0:6]-[c:7]>>[#15:1]-[O-;H0;D1:2].[#8:3]-[C@H;D3;+0:4](-[C:5])-[O;H0;D2;+0:6]-[c:7],rxndb_direct_match,Direct top-level RXNdb key matched model rxn* ID.
